GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
case-clothes,com.revature.caseclothes.exception,InvalidLoginException,19,4,0,0,8,2,4,1,4,1
case-clothes,com.revature.caseclothes.exception,ProductNotFoundException,19,4,0,0,8,2,4,1,4,1
case-clothes,com.revature.caseclothes.exception,UserNotFoundException,19,4,0,0,8,2,4,1,4,1
case-clothes,com.revature.caseclothes.exception,UnAuthorizedException,19,4,0,0,8,2,4,1,4,1
case-clothes,com.revature.caseclothes.exception,CartNotFoundException,19,4,0,0,8,2,4,1,4,1
case-clothes,com.revature.caseclothes.exception,InvalidParametersException,19,4,0,0,8,2,4,1,4,1
case-clothes,com.revature.caseclothes,CaseClothesApplication,5,3,0,0,2,1,1,1,1,1
case-clothes,com.revature.caseclothes.dto,AddUserDTO,119,103,10,10,21,24,20,9,10,9
case-clothes,com.revature.caseclothes.dto,LoginDTO,66,26,10,0,10,12,8,6,3,6
case-clothes,com.revature.caseclothes.controller,AuthenticationController,14,45,1,1,3,10,2,3,1,3
case-clothes,com.revature.caseclothes.controller,UserController,174,3,10,0,38,1,11,1,6,1
case-clothes,com.revature.caseclothes.controller,ProductController,360,48,25,1,77,12,21,4,8,4
case-clothes,com.revature.caseclothes.dao,ProductsDAO,0,147,0,0,0,35,0,11,0,11
case-clothes,com.revature.caseclothes.dao,UserDao,0,168,0,0,0,38,0,9,0,9
case-clothes,com.revature.caseclothes.model,Quantities,62,53,11,1,10,15,9,8,3,8
case-clothes,com.revature.caseclothes.model,Products,71,151,9,11,15,28,16,13,7,12
case-clothes,com.revature.caseclothes.model,Category,26,63,5,5,6,15,7,7,2,7
case-clothes,com.revature.caseclothes.model,UserRole,53,36,10,0,11,10,8,6,3,6
case-clothes,com.revature.caseclothes.model,User,75,196,11,13,13,40,17,18,6,17
case-clothes,com.revature.caseclothes.model,Carts,35,83,5,7,7,21,9,9,4,8
case-clothes,com.revature.caseclothes.model,TransactionKeeper,196,3,18,0,38,2,25,1,16,1
case-clothes,com.revature.caseclothes.service,UserService,10,319,1,53,3,59,1,35,0,9
case-clothes,com.revature.caseclothes.service,ProductsService,47,359,10,34,12,83,8,26,0,12
case-clothes,com.revature.caseclothes.aspect,SecurityAspect,72,0,8,0,18,0,7,0,3,0
